year,month,day,Qlps,Nmgpl,Pmgpl
1998,7,9,2.032075328,1.449698967,0.031836972
1998,7,10,1.77136693,1.358762477,0.032100308
1998,7,11,1.646226899,1.257457873,0.03275574
1998,7,12,1.590777306,1.264368733,0.040642972
1998,7,13,1.573228547,1.318258618,0.038187711
1998,7,14,1.494511431,1.206375937,0.039149911
1998,7,15,1.625370227,1.365947462,0.037335145
1998,7,16,1.570004734,1.363576215,0.042734729
1998,7,17,1.552371876,1.318445701,0.043824649
1998,7,18,1.372735379,1.393777428,0.040544107
1998,7,19,1.354233493,1.259860481,0.043430274
1998,7,20,1.406375173,1.370188121,0.042167511
1998,7,21,1.312520149,1.345477439,0.044125744
1998,7,22,1.249950134,1.306448863,0.040910808
1998,7,23,4.379712405,1.360127821,0.01530477
1998,7,24,2.087132457,2.095359644,0.032674003
1998,7,25,1.364661829,1.506332236,0.045446754
1998,7,26,1.218665126,1.449741632,0.042109822
1998,7,27,1.364661829,1.607661103,0.045994034
1998,7,28,1.218665126,1.430954025,0.048313991
1998,7,29,1.197808454,1.399513745,0.041843217
1998,7,30,19.86823015,0.861835585,0.057313448
1998,7,31,5.870684112,1.073742486,0.029830173
1998,8,1,1.635798563,2.105454027,0.03823512
1998,8,2,1.37211865,1.669701784,0.038564911
1998,8,3,1.35145821,1.633794457,0.044179208
1998,8,4,1.604513555,2.203874097,0.039053686
1998,8,5,1.291663477,0.932785705,0.044635342
1998,8,6,1.218665126,1.062589324,0.056984399
1998,8,7,1.330853837,0.957263181,0.042593699
1998,8,8,1.258275982,0.955546274,0.044501122
1998,8,9,1.218665126,0.898739104,0.048221804
1998,8,10,4.54558462,1.420164816,0.0276221
1998,8,11,2.037962292,1.139106858,0.032291817
1998,8,12,1.343805157,0.997182487,0.051023082
1998,8,13,1.218665126,0.860552538,0.05661588
1998,8,14,1.299456696,0.940248481,0.052548664
1998,8,15,1.197808454,0.840680914,0.055124723
1998,8,16,1.197808454,0.81949928,0.05839623
1998,8,17,3.641515174,1.199885613,0.032518728
1998,8,18,1.775151407,1.005235711,0.047093428
1998,8,19,1.330517439,0.86463962,0.054113783
1998,8,20,1.187380118,0.863594185,0.06221779
1998,8,21,1.187380118,0.895948621,0.062105751
1998,8,22,1.187380118,0.855084902,0.060745204
1998,8,23,1.197808454,0.87300908,0.066679184
1998,8,24,1.187380118,0.828072609,0.06471132
1998,8,25,1.197808454,0.965657698,0.067379031
1998,8,26,1.964851808,1.144831881,0.046798225
1998,8,27,1.964907874,1.230626789,0.050952413
1998,8,28,1.197808454,0.849785591,0.066351155
1998,8,29,1.176951782,0.77713255,0.070192173
1998,8,30,1.187380118,0.749436659,0.071978268
1998,8,31,1.14474168,0.7954074,0.071303169
1998,9,1,1.124810102,0.726097739,0.075887939
1998,9,2,5.942364905,1.181855196,0.03469387
1998,9,3,1.197808454,0.915692123,0.066959402
1998,9,4,1.135238438,0.84743982,0.068312576
1998,9,5,1.103953431,0.766255186,0.07398483
1998,9,6,1.103953431,0.664639187,0.073093346
1998,9,7,4.448533816,1.281800348,0.035479928
1998,9,8,4.672070242,1.294516701,0.039970126
1998,9,9,1.144265116,0.775502953,0.066760233
1998,9,10,1.103953431,0.702259946,0.06766005
1998,9,11,1.103953431,0.664665115,0.073274284
1998,9,12,1.093525095,0.7031836,0.07149843
1998,9,13,1.093525095,0.722068087,0.076168376
1998,9,14,1.103953431,0.636582842,0.071073384
1998,9,15,1.103953431,0.723902449,0.070009925
1998,9,16,1.135238438,0.753356935,0.068140895
1998,9,17,1.103953431,0.702376775,0.064024729
1998,9,18,1.133847994,0.67540401,0.06997868
1998,9,19,1.093525095,0.634175305,0.069576583
1998,9,20,1.103040605,0.642157683,0.066220187
1998,9,21,1.103953431,0.691453239,0.062880408
1998,9,22,7.342272034,0.939650608,0.043865371
1998,9,23,1.166523446,0.751847379,0.061344637
1998,9,24,1.093525095,0.540689408,0.066455431
1998,9,25,2.643552544,1.321644559,0.058675646
1998,9,26,1.20823679,0.662965058,0.061314574
1998,9,27,1.093525095,0.544369389,0.058194159
1998,9,28,1.092224938,0.539523701,0.062078378
1998,9,29,1.051811751,0.462532989,0.067216768
1998,9,30,1.062240087,0.563619331,0.057169244
1998,10,1,1.051811751,0.520067951,0.0583932
1998,10,2,1.020285471,0.334176506,0.060269435
1998,10,3,1.051330443,0.451129548,0.056876318
1998,10,4,3.858767727,1.14232136,0.039575119
1998,10,5,1.260378469,0.691566434,0.055209963
1998,10,6,1.062240087,0.505582992,0.052670982
1998,10,7,1.051811751,0.445902523,0.052663758
1998,10,8,13.16346591,0.706812357,0.072614039
1998,10,9,2.678210809,1.232985703,0.050446321
1998,10,10,2.852420243,1.315563985,0.046280948
1998,10,11,1.229093462,0.501435735,0.049906888
1998,10,12,1.051289027,0.480565599,0.048679869
1998,10,13,3.744434159,0.960827648,0.035370185
1998,10,14,3.264959493,1.04358811,0.043765894
1998,10,15,1.312520149,0.659409394,0.044856441
1998,10,16,1.281235141,0.654220897,0.042526976
1998,10,17,1.281235141,0.624818981,0.042390561
1998,10,18,1.270806805,0.580327266,0.039686
1998,10,19,1.280303578,0.506842452,0.036470317
1998,10,20,1.030955079,0.387646934,0.041452279
1998,10,21,1.05157886,0.419937785,0.036697182
1998,10,22,1.185827512,0.423196049,0.035923224
1998,10,23,1.229093462,0.419051628,0.035774182
1998,10,24,1.229093462,0.382398625,0.034115686
1998,10,25,1.229093462,0.460506062,0.035645192
1998,10,26,1.280484715,0.412197289,0.036212119
1998,10,27,1.051708244,0.378774948,0.037063557
1998,10,28,1.20823679,0.384920007,0.031851176
1998,10,29,1.332134736,0.479232919,0.032981455
1998,10,30,1.906935297,0.508269717,0.032084424
1998,10,31,1.77136693,0.496637093,0.029781892
1998,11,1,1.332289997,0.48049708,0.030613928
1998,11,2,1.229093462,0.474405106,0.028722224
1998,11,3,1.300694468,0.457723816,0.029699924
1998,11,4,1.500230196,0.509756514,0.028863937
1998,11,5,1.528849897,0.497375496,0.026668892
1998,11,6,1.850860349,0.55386452,0.028147512
1998,11,7,1.427231844,0.494409702,0.026610553
1998,11,8,1.750510258,0.543724643,0.024327962
1998,11,9,1.406375173,0.50596139,0.025140373
1998,11,10,1.458516852,0.561367858,0.023534356
1998,11,11,6.346689344,0.792109664,0.03390961
1998,11,12,1.291145942,0.497148053,0.023339049
1998,11,13,1.176951782,0.405408834,0.021769953
1998,11,14,1.176951782,0.459798176,0.020768356
1998,11,15,1.176951782,0.384526821,0.021005985
1998,11,16,1.176951782,0.476134085,0.019948797
1998,11,17,1.249950134,0.474977343,0.02026237
1998,11,18,1.260042072,0.467984036,0.020386042
1998,11,19,1.301522524,0.489413314,0.019259986
1998,11,20,2.563920461,0.704135662,0.022277338
1998,11,21,2.407210778,0.681502648,0.020588813
1998,11,22,1.249794873,0.42775401,0.017746996
1998,11,23,1.176951782,0.444057983,0.016766305
1998,11,24,1.176951782,0.467535549,0.0163288
1998,11,25,1.20815916,0.482028615,0.01526399
1998,11,26,10.35259356,0.864938647,0.034880131
1998,11,27,1.468945188,0.599244985,0.016423445
1998,11,28,1.249950134,0.479889384,0.015045294
1998,11,29,1.249950134,0.508092398,0.014676974
1998,11,30,1.260197332,0.512689506,0.014283893
1998,12,1,1.270806805,0.511390224,0.013716411
1998,12,2,1.551103914,0.559245219,0.01461374
1998,12,3,1.270806805,0.559527765,0.01373262
1998,12,4,1.291378833,0.509941443,0.01309002
1998,12,5,2.27860326,0.701091712,0.015504629
1998,12,6,1.416803508,0.528450124,0.012776265
1998,12,7,1.374779644,0.567531106,0.011921675
1998,12,8,4.875258907,1.029287413,0.019278537
1998,12,9,6.141408974,0.978061366,0.022680829
1998,12,10,1.759515372,0.622642981,0.012960372
1998,12,11,1.458258085,0.528235065,0.011518099
1998,12,12,1.416803508,0.513975341,0.010324349
1998,12,13,5.522126256,1.098750978,0.019731126
1998,12,14,1.926084103,0.636921864,0.011748994
1998,12,15,1.468789928,0.608347817,0.010975741
1998,12,16,1.448088516,0.471644348,0.009848487
1998,12,17,1.448088516,0.521568761,0.009540955
1998,12,18,1.44803363,0.591009505,0.008960108
1998,12,19,1.448031686,0.482251146,0.008799441
1998,12,20,1.448029599,0.497083367,0.00861148
1998,12,21,1.458363944,0.576010434,0.009104259
1998,12,22,1.927791969,0.659264713,0.010444399
1998,12,23,1.458351323,0.581683897,0.008174318
1998,12,24,2.955017589,0.995632175,0.013360716
1998,12,25,1.906935297,0.653171371,0.010097365
1998,12,26,1.478995686,0.55020933,0.010578117
1998,12,27,1.448088516,0.581167847,0.010071259
1998,12,28,1.904182217,0.610805652,0.010536567
1998,12,29,2.939736567,0.937357877,0.013059136
1998,12,30,2.342085547,0.735351302,0.011287188
1998,12,31,1.447989669,0.503359733,0.009500232
1999,1,1,1.416694311,0.523222351,0.008905963
1999,1,2,1.458243859,0.585893042,0.008958304
1999,1,3,42.1088801,1.186910926,0.030130793
1999,1,4,3.079877396,0.763223314,0.010995365
1999,1,5,1.854793618,0.596778559,0.009352908
1999,1,6,1.886078625,0.623293994,0.009583255
1999,1,7,1.729653586,0.604884848,0.009344931
1999,1,8,1.677511907,0.618401547,0.00898993
1999,1,9,11.08168697,1.016839992,0.019819327
1999,1,10,3.683082921,0.831082976,0.011886753
1999,1,11,3.45409632,0.774481578,0.011226071
1999,1,12,4.320357984,0.861100474,0.012619536
1999,1,13,4.631652001,0.927783032,0.013609172
1999,1,14,6.225331046,0.931110922,0.015678059
1999,1,15,23.00809977,1.098932711,0.022747475
1999,1,16,3.888319124,0.91639744,0.012434979
1999,1,17,3.05405225,0.732816434,0.010258922
1999,1,18,14.46122249,1.081754935,0.017132887
1999,1,19,3.381158787,0.815211338,0.010219051
1999,1,20,2.460427127,0.701081183,0.008725633
1999,1,21,2.741202172,0.700019049,0.00929471
1999,1,22,2.207339497,0.666354257,0.008721942
1999,1,23,2.866342203,0.765209279,0.008882082
1999,1,24,22.99563763,1.11184447,0.019630333
1999,1,25,3.922724831,0.895312664,0.010848314
1999,1,26,2.633546465,0.691500628,0.008546432
1999,1,27,2.226125182,0.627712981,0.007809901
1999,1,28,2.124351869,0.639297918,0.007974848
1999,1,29,1.740081922,0.611932529,0.00739936
1999,1,30,1.749759832,0.64204491,0.007391981
1999,1,31,1.740081922,0.58757995,0.007357038
1999,2,1,1.749863339,0.598587162,0.007189385
1999,2,2,12.95201802,0.905079758,0.014654926
1999,2,3,3.085337258,0.727700011,0.009185583
1999,2,4,2.340215835,0.652656677,0.008137315
1999,2,5,1.886078625,0.617189737,0.007552484
1999,2,6,1.904761649,0.593517438,0.007337195
1999,2,7,2.470065438,0.643722511,0.008004672
1999,2,8,2.934863874,0.695980271,0.008557297
1999,2,9,1.863514087,0.573248497,0.007083547
