wselev,depth,crossarea,wettedperimeter,surfacewidth,manningN,meanslope,velocity,discharge,volume,mvelocity,RTvar,RTmean,hR,island,wettedBperimeter,bank
0,0,0,2.182516307,0,NA,NA,0,0,0,0,27821455804,48318.86052,0,0,2.182516307,0
0.01,0.009153722,0.019982561,2.182516307,2.182,12,0.01158892,0.000392617,7.85E-06,0.199825613,0.000393008,27821455804,48318.86052,0.009155744,1,2.182516307,0
0.02,0.018283677,0.042619236,2.331901528,2.33,12,0.01158892,0.000622449,2.65E-05,0.42619236,0.000622933,11768458793,30686.62113,0.018276602,1,2.331901528,0
0.03,0.027408533,0.066410785,2.426038763,2.422,12,0.01158892,0.000814831,5.41E-05,0.664107849,0.000815363,7113895725,23538.18854,0.027374165,1,2.426038763,0
0.04,0.03652968,0.090995211,2.496858833,2.49,12,0.01158892,0.000986105,8.97E-05,0.909952109,0.000986667,5014867371,19505.703,0.036443875,1,2.496858833,0
0.05,0.045619562,0.116192944,2.556427732,2.546,12,0.01158892,0.001142539,0.000132755,1.161929441,0.001143089,3937263953,16909.97721,0.045451292,1,2.556427732,0
0.06,0.054722068,0.141894173,2.606540208,2.592,12,0.01158892,0.001288567,0.00018284,1.418941728,0.001289124,3181557015,15037.51384,0.054437746,1,2.606540208,0
0.07,0.06381509,0.168024961,2.651247247,2.632,7.657626563,0.01158892,0.002234651,0.000375477,1.680249615,0.002235527,1078554728,8687.899912,0.063375817,1,2.651247247,0
0.08,0.072940218,0.194530966,2.690273087,2.666,3.994461657,0.01158892,0.004677619,0.000909942,1.94530966,0.004679269,251359423.7,4158.33292,0.072309003,1,2.690273087,0
0.09,0.082020373,0.221372411,2.728033348,2.698,2.090332136,0.01158892,0.009652846,0.002136874,2.213724108,0.009655864,60428861.09,2020.032175,0.081147252,1,2.728033348,0
0.1,0.091065206,0.248516729,2.764493301,2.728,1.096645792,0.01158892,0.019699196,0.00489558,2.485167287,0.01970432,15093332.21,993.1929259,0.089895942,1,2.764493301,0
0.11,0.100158712,0.275936823,2.797042093,2.754,0.573336881,0.01158892,0.040088399,0.011061865,2.759368229,0.040098572,3575135.64,487.3474519,0.098653082,1,2.797042093,0
0.12,0.109252318,0.303611513,2.827968236,2.778,0.299743864,0.01158892,0.081127293,0.02463118,3.036115132,0.081145281,914107.0854,241.8126916,0.107360298,1,2.827968236,0
0.13,0.118274605,0.331523521,2.859833402,2.802,0.157506938,0.01158892,0.162494077,0.053870609,3.315235205,0.162527455,229507.5268,120.802128,0.115924068,1,2.859833402,0
0.14,0.12740208,0.359655193,2.88717418,2.822,0.082146883,0.01158892,0.326868167,0.117559834,3.596551927,0.326929884,56565.76784,60.04993719,0.124569967,1,2.88717418,0
0.15,0.136474108,0.387994893,2.91529212,2.842,0.043013009,0.01158892,0.652405496,0.253130001,3.879948931,0.652503434,14537.84576,30.16495072,0.133089542,1,2.91529212,0
0.16,0.145487832,0.416531135,2.94424761,2.862,0.029228301,0.01158892,1,0.416531135,4.16531135,1.000137947,6316.226503,19.70627159,0.141472862,1,2.94424761,0
0.17,0.154547889,0.445251885,2.971076254,2.88,0.029228301,0.01158892,1.039152341,0.462684539,4.452518855,1.039285871,5792.297566,18.95454223,0.149862153,1,2.971076254,0
0.18,0.163556071,0.474148933,2.998683415,2.898,0.029228301,0.01158892,1.076979279,0.510648576,4.741489331,1.077098434,5558.002367,18.33691848,0.158119037,1,2.998683415,0
0.19,0.172629089,0.503213424,3.023898915,2.914,0.029228301,0.01158892,1.114314735,0.560738133,5.032134239,1.114418422,5235.462971,17.73874819,0.166412118,1,3.023898915,0
0.2,0.181657555,0.532438155,3.049876087,2.93,0.029228301,0.01158892,1.15047157,0.612554959,5.324381546,1.150544344,4913.908372,17.18988424,0.174576979,1,3.049876087,0
0.21,0.190769662,0.561815732,3.073024517,2.944,0.029228301,0.01158892,1.186414615,0.666546395,5.618157315,1.186492725,4583.073365,16.65448557,0.182821754,1,3.073024517,0
0.22,0.199845704,0.591342157,3.096854874,2.958,0.029228301,0.01158892,1.22132121,0.722218718,5.913421569,1.221370558,4488.055737,16.240547,0.190949263,1,3.096854874,0
0.23,0.208882393,0.621006596,3.122133965,2.972,0.029228301,0.01158892,1.255011466,0.779370398,6.210065957,1.25505768,4250.248302,15.80122115,0.198904532,1,3.122133965,0
