year,month,day,hour,PAR
2012,1,1,0,0
2012,1,1,1,0
2012,1,1,2,0
2012,1,1,3,0
2012,1,1,4,0
2012,1,1,5,0
2012,1,1,6,0.049749522
2012,1,1,7,31.6003813
2012,1,1,8,121.6292122
2012,1,1,9,290.232565
2012,1,1,10,335.5252021
2012,1,1,11,318.3213517
2012,1,1,12,337.0283393
2012,1,1,13,355.8966886
2012,1,1,14,13.75334439
2012,1,1,15,100.4847096
2012,1,1,16,34.91779309
2012,1,1,17,0.988478401
2012,1,1,18,0
2012,1,1,19,0
2012,1,1,20,0
2012,1,1,21,0
2012,1,1,22,0
2012,1,1,23,0
2012,1,2,0,0
2012,1,2,1,0
2012,1,2,2,0
2012,1,2,3,0
2012,1,2,4,0
2012,1,2,5,0
2012,1,2,6,0.021318211
2012,1,2,7,15.15839078
2012,1,2,8,79.00071843
2012,1,2,9,219.640526
2012,1,2,10,239.9623115
2012,1,2,11,255.6653597
2012,1,2,12,209.2139013
2012,1,2,13,127.3426987
2012,1,2,14,82.82982356
2012,1,2,15,53.21152354
2012,1,2,16,24.69854509
2012,1,2,17,0.948709903
2012,1,2,18,0
2012,1,2,19,0
2012,1,2,20,0
2012,1,2,21,0
2012,1,2,22,0
2012,1,2,23,0
2012,1,3,0,0
2012,1,3,1,0
2012,1,3,2,0
2012,1,3,3,0
2012,1,3,4,0
2012,1,3,5,0
2012,1,3,6,0.044887532
2012,1,3,7,3.995823963
2012,1,3,8,61.87016344
2012,1,3,9,117.5805379
2012,1,3,10,143.6520296
2012,1,3,11,120.2589726
2012,1,3,12,143.9293589
2012,1,3,13,46.39062004
2012,1,3,14,99.7313496
2012,1,3,15,31.38850204
2012,1,3,16,9.780709224
2012,1,3,17,0.595340566
2012,1,3,18,0
2012,1,3,19,0
2012,1,3,20,0
2012,1,3,21,0
2012,1,3,22,0
2012,1,3,23,0
2012,1,4,0,0
2012,1,4,1,0
2012,1,4,2,0
2012,1,4,3,0
2012,1,4,4,0
2012,1,4,5,0
2012,1,4,6,0.020841641
2012,1,4,7,9.680659292
2012,1,4,8,65.26122421
2012,1,4,9,175.6609396
2012,1,4,10,172.7188155
2012,1,4,11,218.1319667
2012,1,4,12,271.9936364
2012,1,4,13,194.5987707
2012,1,4,14,224.2162186
2012,1,4,15,131.6295978
2012,1,4,16,25.16337988
2012,1,4,17,0.48526868
2012,1,4,18,0
2012,1,4,19,0
2012,1,4,20,0
2012,1,4,21,0
2012,1,4,22,0
2012,1,4,23,0
2012,1,5,0,0
2012,1,5,1,0
2012,1,5,2,0
2012,1,5,3,0
2012,1,5,4,0
2012,1,5,5,0
2012,1,5,6,0.010332029
2012,1,5,7,21.73844205
2012,1,5,8,43.14202469
2012,1,5,9,197.5166187
2012,1,5,10,314.0830545
2012,1,5,11,208.1069919
2012,1,5,12,75.69846291
2012,1,5,13,99.00872772
2012,1,5,14,128.4550293
2012,1,5,15,46.13607641
2012,1,5,16,20.78757067
2012,1,5,17,1.26058515
2012,1,5,18,0
2012,1,5,19,0
2012,1,5,20,0
2012,1,5,21,0
2012,1,5,22,0
2012,1,5,23,0
2012,1,6,0,0
2012,1,6,1,0
2012,1,6,2,0
2012,1,6,3,0
