year,month,day,hour,temperature
2012,1,1,0,5.016179993
2012,1,1,1,4.887957668
2012,1,1,2,4.727311348
2012,1,1,3,4.518929793
2012,1,1,4,4.365641832
2012,1,1,5,4.133402356
2012,1,1,6,4.184195423
2012,1,1,7,3.956168064
2012,1,1,8,4.292865411
2012,1,1,9,4.804839187
2012,1,1,10,5.311547485
2012,1,1,11,6.248454562
2012,1,1,12,7.518496537
2012,1,1,13,6.298814523
2012,1,1,14,6.504147235
2012,1,1,15,6.759225006
2012,1,1,16,6.469815642
2012,1,1,17,6.001971891
2012,1,1,18,5.531895728
2012,1,1,19,5.566773516
2012,1,1,20,5.728682755
2012,1,1,21,5.638397191
2012,1,1,22,5.008408519
2012,1,1,23,4.66644707
2012,1,2,0,4.166308221
2012,1,2,1,4.0577243
2012,1,2,2,3.926757742
2012,1,2,3,3.794745413
2012,1,2,4,3.54047984
2012,1,2,5,3.461534251
2012,1,2,6,3.323495934
2012,1,2,7,3.289226149
2012,1,2,8,3.598005201
2012,1,2,9,3.819805985
2012,1,2,10,4.544027496
2012,1,2,11,5.124180775
2012,1,2,12,5.459992007
2012,1,2,13,5.70276045
2012,1,2,14,5.842840819
2012,1,2,15,5.399859265
2012,1,2,16,5.013732384
2012,1,2,17,5.34759744
2012,1,2,18,5.384534095
2012,1,2,19,4.615559634
2012,1,2,20,4.596615185
2012,1,2,21,4.721777543
2012,1,2,22,4.243467124
2012,1,2,23,4.288735714
2012,1,3,0,5.587771807
2012,1,3,1,5.42240032
2012,1,3,2,5.176278705
2012,1,3,3,5.041446282
2012,1,3,4,4.947883517
2012,1,3,5,4.905834714
2012,1,3,6,4.756310823
2012,1,3,7,4.542655751
2012,1,3,8,4.805332096
2012,1,3,9,5.237314111
2012,1,3,10,6.09265936
2012,1,3,11,6.890498271
2012,1,3,12,7.592472602
2012,1,3,13,7.49655823
2012,1,3,14,7.680138815
2012,1,3,15,7.282748517
2012,1,3,16,7.166577131
2012,1,3,17,6.786944943
2012,1,3,18,5.873810885
2012,1,3,19,6.068190873
2012,1,3,20,5.88174434
2012,1,3,21,6.218953415
2012,1,3,22,5.508080236
2012,1,3,23,5.606224342
2012,1,4,0,5.991851879
2012,1,4,1,5.809853578
2012,1,4,2,5.580813107
2012,1,4,3,5.571574603
2012,1,4,4,5.2277213
2012,1,4,5,4.957001822
2012,1,4,6,4.97169407
2012,1,4,7,4.644855907
2012,1,4,8,4.959216558
2012,1,4,9,5.926373656
2012,1,4,10,6.266945132
2012,1,4,11,7.088550503
2012,1,4,12,7.551852598
2012,1,4,13,8.59626884
2012,1,4,14,8.333895614
2012,1,4,15,7.817109809
2012,1,4,16,7.96382995
2012,1,4,17,7.025748518
2012,1,4,18,5.927569834
2012,1,4,19,7.280235265
2012,1,4,20,6.868696122
2012,1,4,21,5.74108581
2012,1,4,22,6.026483552
2012,1,4,23,6.622880929
2012,1,5,0,6.828306964
2012,1,5,1,6.63562137
2012,1,5,2,6.466310198
2012,1,5,3,6.169542507
2012,1,5,4,5.877831314
2012,1,5,5,5.726906017
2012,1,5,6,5.480396552
2012,1,5,7,5.813122624
2012,1,5,8,5.657755302
2012,1,5,9,6.368275809
2012,1,5,10,7.127407534
2012,1,5,11,8.435073214
2012,1,5,12,8.927638972
2012,1,5,13,8.041357232
2012,1,5,14,10.2405838
2012,1,5,15,8.286986671
2012,1,5,16,7.620762145
2012,1,5,17,8.524018743
2012,1,5,18,8.406688688
2012,1,5,19,7.485315958
2012,1,5,20,7.756057752
2012,1,5,21,7.355877876
2012,1,5,22,7.149123329
2012,1,5,23,6.991964354
2012,1,6,0,4.293208888
2012,1,6,1,4.172878864
2012,1,6,2,4.055333444
2012,1,6,3,3.85141557
2012,1,6,4,3.714062445
2012,1,6,5,3.644224937
2012,1,6,6,3.533260559
2012,1,6,7,3.500362018
2012,1,6,8,3.719311039
2012,1,6,9,4.074171576
2012,1,6,10,4.585549921
2012,1,6,11,5.265492065
2012,1,6,12,6.066756805
2012,1,6,13,5.858327938
2012,1,6,14,6.047806642
2012,1,6,15,5.947768869
2012,1,6,16,5.458235075
2012,1,6,17,5.715577566
2012,1,6,18,5.246033915
2012,1,6,19,5.168270887
2012,1,6,20,4.686398491
2012,1,6,21,3.972178867
2012,1,6,22,3.904236805
2012,1,6,23,4.385458125
2012,1,7,0,2.808076628
2012,1,7,1,2.708518657
2012,1,7,2,2.644573045
2012,1,7,3,2.553414328
2012,1,7,4,2.51413992
2012,1,7,5,2.368473038
2012,1,7,6,2.423406484
2012,1,7,7,2.1764602
2012,1,7,8,2.384504738
2012,1,7,9,2.765711521
2012,1,7,10,3.051673354
2012,1,7,11,3.627006018
2012,1,7,12,3.718381065
2012,1,7,13,4.109963586
2012,1,7,14,3.830935787
2012,1,7,15,3.854158607
2012,1,7,16,3.715651937
2012,1,7,17,3.650607298
2012,1,7,18,3.412432006
2012,1,7,19,3.3515177
2012,1,7,20,3.266874505
2012,1,7,21,2.70285242
2012,1,7,22,2.900131081
2012,1,7,23,2.283576739
2012,1,8,0,6.152362324
2012,1,8,1,5.920597056
2012,1,8,2,5.723710762
2012,1,8,3,5.623780706
2012,1,8,4,5.39796187
2012,1,8,5,5.057314438
2012,1,8,6,5.094228608
2012,1,8,7,5.119816856
2012,1,8,8,5.215482386
2012,1,8,9,5.779504897
2012,1,8,10,7.056598623
2012,1,8,11,8.183528573
2012,1,8,12,8.147242339
2012,1,8,13,8.899112739
2012,1,8,14,9.084547992
2012,1,8,15,7.923200322
2012,1,8,16,8.244866165
