year,month,day,hour,PAR
2012,1,1,0,0
2012,1,1,1,0
2012,1,1,2,0
2012,1,1,3,0
2012,1,1,4,0
2012,1,1,5,0
2012,1,1,6,0.010922403
2012,1,1,7,5.185823827
2012,1,1,8,55.35230041
2012,1,1,9,191.1323726
2012,1,1,10,148.6202711
2012,1,1,11,157.9706256
2012,1,1,12,142.3022919
2012,1,1,13,91.14473597
2012,1,1,14,92.84846934
2012,1,1,15,17.21811062
2012,1,1,16,19.41690324
2012,1,1,17,0.638891392
2012,1,1,18,0
2012,1,1,19,0
2012,1,1,20,0
2012,1,1,21,0
2012,1,1,22,0
2012,1,1,23,0
2012,1,2,0,0
2012,1,2,1,0
2012,1,2,2,0
2012,1,2,3,0
2012,1,2,4,0
2012,1,2,5,0
2012,1,2,6,0.022785245
2012,1,2,7,5.556270604
2012,1,2,8,47.87539017
2012,1,2,9,99.99086391
2012,1,2,10,110.941494
2012,1,2,11,128.4049159
2012,1,2,12,67.14471199
2012,1,2,13,83.40168105
2012,1,2,14,44.90886397
2012,1,2,15,32.04940787
2012,1,2,16,6.922815547
2012,1,2,17,0.933212748
2012,1,2,18,0
2012,1,2,19,0
2012,1,2,20,0
2012,1,2,21,0
2012,1,2,22,0
2012,1,2,23,0
2012,1,3,0,0
2012,1,3,1,0
2012,1,3,2,0
2012,1,3,3,0
2012,1,3,4,0
2012,1,3,5,0
2012,1,3,6,0.021396439
2012,1,3,7,3.605597204
2012,1,3,8,48.46851872
2012,1,3,9,67.53255644
2012,1,3,10,86.12088026
2012,1,3,11,60.62957644
2012,1,3,12,85.73754023
2012,1,3,13,53.15624037
2012,1,3,14,32.96129186
2012,1,3,15,23.48020219
2012,1,3,16,8.636575846
2012,1,3,17,0.708582709
2012,1,3,18,0
2012,1,3,19,0
2012,1,3,20,0
2012,1,3,21,0
2012,1,3,22,0
2012,1,3,23,0
2012,1,4,0,0
2012,1,4,1,0
2012,1,4,2,0
2012,1,4,3,0
2012,1,4,4,0
2012,1,4,5,0
2012,1,4,6,0.0108315
2012,1,4,7,11.89544191
2012,1,4,8,75.63851423
2012,1,4,9,124.5023325
2012,1,4,10,128.2846079
2012,1,4,11,143.0527527
2012,1,4,12,192.5582655
2012,1,4,13,126.1151025
2012,1,4,14,21.69901661
2012,1,4,15,26.25950967
2012,1,4,16,16.53431859
2012,1,4,17,0.903399664
2012,1,4,18,0
2012,1,4,19,0
2012,1,4,20,0
2012,1,4,21,0
2012,1,4,22,0
2012,1,4,23,0
2012,1,5,0,0
2012,1,5,1,0
2012,1,5,2,0
2012,1,5,3,0
2012,1,5,4,0
2012,1,5,5,0
2012,1,5,6,0.028113159
2012,1,5,7,15.80923697
2012,1,5,8,65.25908637
2012,1,5,9,78.6266891
2012,1,5,10,183.1348991
2012,1,5,11,122.5305241
2012,1,5,12,78.81023466
2012,1,5,13,85.3320671
2012,1,5,14,56.50595972
2012,1,5,15,55.1442769
2012,1,5,16,11.55853529
2012,1,5,17,1.501982922
2012,1,5,18,0
2012,1,5,19,0
2012,1,5,20,0
2012,1,5,21,0
2012,1,5,22,0
2012,1,5,23,0
2012,1,6,0,0
2012,1,6,1,0
2012,1,6,2,0
