year,month,day,labileC,celluloseC,ligninC,labileN,celluloseN,ligninN,labileP,celluloseP,ligninP,uptake
2012,1,1,171.5002505,4.066055125,350.4570942,8.308892149,223.696013,5.303550132,0.385827335,0.009147481,0.788429908,0.000284866
2012,1,2,171.5002505,4.066063014,350.4570942,8.308914224,223.696013,5.303560867,0.385827335,0.009147498,0.788429908,0.000278223
2012,1,3,171.5002505,4.066072639,350.4570942,8.308930584,223.696013,5.303572162,0.385827335,0.00914752,0.788429908,0.000270174
2012,1,4,171.5002505,4.066081671,350.4570942,8.308948053,223.696013,5.303582314,0.385827335,0.00914754,0.788429908,0.000264514
2012,1,5,171.5002505,4.066090691,350.4570942,8.308963864,223.696013,5.303595884,0.385827335,0.009147561,0.788429908,0.000258761
2012,1,6,171.5002505,4.066097459,350.4570942,8.308979686,223.696013,5.303606607,0.385827335,0.009147576,0.788429908,0.000251051
2012,1,7,171.5002505,4.066107063,350.4570942,8.309002859,223.696013,5.303617891,0.385827335,0.009147597,0.788429908,0.0002443
2012,1,8,171.5002505,4.066115534,350.4570942,8.309019219,223.696013,5.303629758,0.385827335,0.009147616,0.788429908,0.000237377
2012,1,9,171.5002505,4.066124565,350.4570942,8.30903559,223.696013,5.303639887,0.385827335,0.009147637,0.788429908,0.000234532
2012,1,10,171.5002505,4.066133619,350.4570942,8.309053048,223.696013,5.303651194,0.385827335,0.009147657,0.788429908,0.000228689
2012,1,11,171.5002505,4.06614208,350.4570942,8.309074025,223.696013,5.30366306,0.385827335,0.009147676,0.788429908,0.000203865
2012,1,12,171.5002505,4.066149408,350.4570942,8.309091494,223.696013,5.303674916,0.385827335,0.009147693,0.788429908,0.000222208
2012,1,13,171.5002505,4.06615844,350.4570942,8.309106756,223.696013,5.303686211,0.385827335,0.009147713,0.788429908,0.000224928
2012,1,14,171.5002505,4.066168614,350.4570942,8.309123676,223.696013,5.303698077,0.385827335,0.009147736,0.788429908,0.000232194
2012,1,15,171.5002505,4.066177085,350.4570942,8.309141134,223.696013,5.303708218,0.385827335,0.009147755,0.788429908,0.000239243
2012,1,16,171.5002505,4.066185546,350.4570942,8.309163209,223.696013,5.303720085,0.385827335,0.009147774,0.788429908,0.000233306
2012,1,17,171.5002505,4.066195149,350.4570942,8.309180129,223.696013,5.30373194,0.385827335,0.009147796,0.788429908,0.000220996
2012,1,18,171.5002505,4.066203048,350.4570942,8.309195391,223.696013,5.303740972,0.385827335,0.009147813,0.788429908,0.000233539
2012,1,19,171.5002505,4.06621208,350.4570942,8.309218015,223.696013,5.30375341,0.385827335,0.009147834,0.788429908,0.000232967
2012,1,20,171.5002505,4.066219991,350.4570942,8.309235484,223.696013,5.303765814,0.385827335,0.009147851,0.788429908,0.000229931
2012,1,21,171.5002505,4.066228451,350.4570942,8.309251295,223.696013,5.303777681,0.385827335,0.009147871,0.788429908,0.000227307
2012,1,22,171.5002505,4.066237494,350.4570942,8.309268764,223.696013,5.303788427,0.385827335,0.009147891,0.788429908,0.000226998
2012,1,23,171.5002505,4.066246526,350.4570942,8.309284575,223.696013,5.303799139,0.385827335,0.009147911,0.788429908,0.000221461
2012,1,24,171.5002505,4.06625558,350.4570942,8.30930665,223.696013,5.303810983,0.385827335,0.009147932,0.788429908,0.000218348
2012,1,25,171.5002505,4.066264028,350.4570942,8.30932357,223.696013,5.303822839,0.385827335,0.009147951,0.788429908,0.000212952
2012,1,26,171.5002505,4.06627306,350.4570942,8.309339381,223.696013,5.303833585,0.385827335,0.009147971,0.788429908,0.000209175
2012,1,27,171.5002505,4.066280994,350.4570942,8.30935685,223.696013,5.303845451,0.385827335,0.009147989,0.788429908,0.000188427
2012,1,28,171.5002505,4.066290574,350.4570942,8.30937321,223.696013,5.303857307,0.385827335,0.00914801,0.788429908,0.000205314
2012,1,29,171.5002505,4.066299046,350.4570942,8.309395285,223.696013,5.30386803,0.385827335,0.009148029,0.788429908,0.00020079
2012,1,30,171.5002505,4.066307506,350.4570942,8.309411656,223.696013,5.303878754,0.385827335,0.009148048,0.788429908,0.000197485
2012,1,31,171.5002505,4.066315988,350.4570942,8.309428565,223.696013,5.303889466,0.385827335,0.009148067,0.788429908,0.000194529
2012,2,1,171.5002505,4.06632558,350.4570942,8.309444936,223.696013,5.303902476,0.385827335,0.009148089,0.788429908,0.00018976
2012,2,2,171.5002505,4.06633404,350.4570942,8.309466462,223.696013,5.303913166,0.385827335,0.009148108,0.788429908,0.000187057
2012,2,3,171.5002505,4.066341951,350.4570942,8.30948392,223.696013,5.303925055,0.385827335,0.009148126,0.788429908,0.000183707
2012,2,4,171.5002505,4.066351543,350.4570942,8.30950084,223.696013,5.303936921,0.385827335,0.009148147,0.788429908,0.000179169
2012,2,5,171.5002505,4.066360026,350.4570942,8.3095172,223.696013,5.303948183,0.385827335,0.009148167,0.788429908,0.000171792
2012,2,6,171.5002505,4.066368486,350.4570942,8.309533022,223.696013,5.303958929,0.385827335,0.009148186,0.788429908,0.000179757
2012,2,7,171.5002505,4.06637754,350.4570942,8.309549931,223.696013,5.303970784,0.385827335,0.009148206,0.788429908,0.000177731
2012,2,8,171.5002505,4.06638656,350.4570942,8.309572006,223.696013,5.303980936,0.385827335,0.009148226,0.788429908,0.000176566
2012,2,9,171.5002505,4.06639502,350.4570942,8.309588926,223.696013,5.303992803,0.385827335,0.009148245,0.788429908,0.000169646
2012,2,10,171.5002505,4.066403503,350.4570942,8.309605835,223.696013,5.304003515,0.385827335,0.009148264,0.788429908,0.000170273
2012,2,11,171.5002505,4.066411952,350.4570942,8.309622207,223.696013,5.304014811,0.385827335,0.009148283,0.788429908,0.000173475
2012,2,12,171.5002505,4.066421006,350.4570942,8.309643732,223.696013,5.304027249,0.385827335,0.009148304,0.788429908,0.000171406
2012,2,13,171.5002505,4.066429466,350.4570942,8.309661202,223.696013,5.304039104,0.385827335,0.009148323,0.788429908,0.000170351
2012,2,14,171.5002505,4.066438509,350.4570942,8.309677012,223.696013,5.304050399,0.385827335,0.009148343,0.788429908,0.000168586
2012,2,15,171.5002505,4.066448112,350.4570942,8.309693933,223.696013,5.30406054,0.385827335,0.009148365,0.788429908,0.000167468
2012,2,16,171.5002505,4.066456,350.4570942,8.309716007,223.696013,5.304071286,0.385827335,0.009148382,0.788429908,0.00014869
2012,2,17,171.5002505,4.066463362,350.4570942,8.309732916,223.696013,5.304083724,0.385827335,0.009148399,0.788429908,0.000165381
2012,2,18,171.5002505,4.066472932,350.4570942,8.309748727,223.696013,5.304096128,0.385827335,0.009148421,0.788429908,0.000163831
2012,2,19,171.5002505,4.066482557,350.4570942,8.309765648,223.696013,5.304106303,0.385827335,0.009148442,0.788429908,0.000162022
2012,2,20,171.5002505,4.066491017,350.4570942,8.309782568,223.696013,5.304117587,0.385827335,0.009148461,0.788429908,0.00016134
2012,2,21,171.5002505,4.066499489,350.4570942,8.309804093,223.696013,5.304129431,0.385827335,0.00914848,0.788429908,0.000160154
2012,2,22,171.5002505,4.06650852,350.4570942,8.309821003,223.696013,5.304140749,0.385827335,0.009148501,0.788429908,0.000157815
2012,2,23,171.5002505,4.066515837,350.4570942,8.309837374,223.696013,5.304152032,0.385827335,0.009148517,0.788429908,0.000155221
2012,2,24,171.5002505,4.066524891,350.4570942,8.309853734,223.696013,5.304162756,0.385827335,0.009148537,0.788429908,0.000138255
2012,2,25,171.5002505,4.066534483,350.4570942,8.309876357,223.696013,5.304175183,0.385827335,0.009148559,0.788429908,0.000153751
2012,2,26,171.5002505,4.066543537,350.4570942,8.30989218,223.696013,5.304186456,0.385827335,0.009148579,0.788429908,0.000152772
2012,2,27,171.5002505,4.066551426,350.4570942,8.309909638,223.696013,5.304197202,0.385827335,0.009148597,0.788429908,0.000151087
2012,2,28,171.5002505,4.066559897,350.4570942,8.309926009,223.696013,5.304209628,0.385827335,0.009148616,0.788429908,0.000149653
2012,2,29,171.5002505,4.0665695,350.4570942,8.309942369,223.696013,5.304220924,0.385827335,0.009148638,0.788429908,0.000147307
2012,3,1,171.5002505,4.06657796,350.4570942,8.309964443,223.696013,5.304231076,0.385827335,0.009148657,0.788429908,0.000163083
2012,3,2,171.5002505,4.066585871,350.4570942,8.309981364,223.696013,5.304242382,0.385827335,0.009148675,0.788429908,0.000159987
2012,3,3,171.5002505,4.066595463,350.4570942,8.309997724,223.696013,5.304254226,0.385827335,0.009148696,0.788429908,0.00015869
2012,3,4,171.5002505,4.066604517,350.4570942,8.310014095,223.696013,5.30426495,0.385827335,0.009148717,0.788429908,0.000167913
2012,3,5,171.5002505,4.066612977,350.4570942,8.310031004,223.696013,5.304277948,0.385827335,0.009148736,0.788429908,0.000166769
2012,3,6,171.5002505,4.066621449,350.4570942,8.310053628,223.696013,5.304288694,0.385827335,0.009148755,0.788429908,0.000169014
2012,3,7,171.5002505,4.066631052,350.4570942,8.310069999,223.696013,5.304299384,0.385827335,0.009148776,0.788429908,0.000168606
2012,3,8,171.5002505,4.06663894,350.4570942,8.310086359,223.696013,5.304311251,0.385827335,0.009148794,0.788429908,0.00016737
