year,month,day,hour,temperature
2012,1,1,0,8.023810222
2012,1,1,1,7.790084789
2012,1,1,2,7.647085762
2012,1,1,3,7.658059707
2012,1,1,4,7.403963534
2012,1,1,5,7.103307854
2012,1,1,6,7.18239878
2012,1,1,7,7.305363369
2012,1,1,8,7.413816856
2012,1,1,9,7.399404085
2012,1,1,10,8.734700437
2012,1,1,11,9.098707934
2012,1,1,12,9.564691416
2012,1,1,13,9.714590407
2012,1,1,14,9.889201067
2012,1,1,15,8.973556406
2012,1,1,16,9.32177727
2012,1,1,17,8.204594468
2012,1,1,18,8.026561124
2012,1,1,19,7.999408567
2012,1,1,20,7.573784523
2012,1,1,21,7.941434421
2012,1,1,22,7.502472999
2012,1,1,23,7.3612359
2012,1,2,0,6.798669436
2012,1,2,1,6.558706993
2012,1,2,2,6.413890656
2012,1,2,3,6.214528146
2012,1,2,4,6.169869374
2012,1,2,5,6.044012116
2012,1,2,6,6.141680685
2012,1,2,7,6.060374007
2012,1,2,8,6.198528618
2012,1,2,9,6.356288891
2012,1,2,10,7.154398613
2012,1,2,11,7.781810203
2012,1,2,12,8.046225906
2012,1,2,13,8.293811828
2012,1,2,14,8.129792985
2012,1,2,15,8.218025237
2012,1,2,16,7.806000246
2012,1,2,17,7.732339312
2012,1,2,18,7.262059686
2012,1,2,19,6.893473833
2012,1,2,20,6.897988918
2012,1,2,21,6.611481843
2012,1,2,22,6.623413878
2012,1,2,23,6.169591546
2012,1,3,0,8.370275064
2012,1,3,1,7.979029049
2012,1,3,2,7.963563308
2012,1,3,3,7.772132423
2012,1,3,4,7.829981359
2012,1,3,5,7.791491447
2012,1,3,6,7.396981551
2012,1,3,7,7.475531298
2012,1,3,8,7.85010995
2012,1,3,9,7.939073181
2012,1,3,10,8.420737272
2012,1,3,11,9.403669857
2012,1,3,12,10.29949798
2012,1,3,13,9.922218175
2012,1,3,14,9.626664186
2012,1,3,15,9.829499939
2012,1,3,16,9.211457365
2012,1,3,17,9.234226961
2012,1,3,18,8.898555245
2012,1,3,19,8.776934966
2012,1,3,20,8.588977515
2012,1,3,21,7.898263454
2012,1,3,22,7.834642384
2012,1,3,23,7.267869752
2012,1,4,0,8.979606878
2012,1,4,1,8.768651919
2012,1,4,2,8.482302615
2012,1,4,3,8.424546914
2012,1,4,4,8.161348056
2012,1,4,5,8.16189468
2012,1,4,6,8.058754823
2012,1,4,7,8.474081045
2012,1,4,8,8.284456954
2012,1,4,9,8.535229366
2012,1,4,10,9.42008943
2012,1,4,11,10.40838878
2012,1,4,12,10.87710038
2012,1,4,13,11.10596375
2012,1,4,14,10.8761991
2012,1,4,15,10.41836495
2012,1,4,16,10.30877905
2012,1,4,17,9.760027987
2012,1,4,18,9.126753975
2012,1,4,19,9.122543536
2012,1,4,20,8.897963685
2012,1,4,21,9.124343988
2012,1,4,22,8.646123374
2012,1,4,23,8.586747463
2012,1,5,0,9.771712106
2012,1,5,1,9.436464282
2012,1,5,2,9.283580201
2012,1,5,3,9.111136002
2012,1,5,4,9.135374517
2012,1,5,5,8.840206631
2012,1,5,6,9.006731625
2012,1,5,7,8.887787011
2012,1,5,8,9.255127437
2012,1,5,9,9.042276159
2012,1,5,10,10.11850727
2012,1,5,11,11.01797968
2012,1,5,12,11.88445296
2012,1,5,13,12.14319772
2012,1,5,14,11.64234912
2012,1,5,15,11.27709302
2012,1,5,16,10.89227339
2012,1,5,17,10.37173766
2012,1,5,18,10.0719572
2012,1,5,19,10.17948934
2012,1,5,20,9.619270814
2012,1,5,21,9.199310799
2012,1,5,22,9.164133174
2012,1,5,23,9.290221651
2012,1,6,0,6.898053508
2012,1,6,1,6.693628791
2012,1,6,2,6.608419285
2012,1,6,3,6.471846088
2012,1,6,4,6.287454728
2012,1,6,5,6.252171596
2012,1,6,6,6.192181589
2012,1,6,7,6.072809133
2012,1,6,8,6.056414654
2012,1,6,9,6.578336162
2012,1,6,10,7.129074765
2012,1,6,11,7.642412427
2012,1,6,12,8.110955782
2012,1,6,13,9.034665945
2012,1,6,14,7.848494599
2012,1,6,15,8.086646235
2012,1,6,16,7.839019473
2012,1,6,17,7.01049653
2012,1,6,18,6.991832705
2012,1,6,19,6.812998555
2012,1,6,20,6.972882338
2012,1,6,21,6.082971385
2012,1,6,22,6.319065474
2012,1,6,23,6.381188958
2012,1,7,0,5.689421128
2012,1,7,1,5.46493357
2012,1,7,2,5.354265758
2012,1,7,3,5.372628344
2012,1,7,4,5.159054942
2012,1,7,5,5.17584001
2012,1,7,6,5.031980463
2012,1,7,7,5.112509517
2012,1,7,8,5.19600843
2012,1,7,9,5.316323506
2012,1,7,10,5.816843312
2012,1,7,11,6.259629115
2012,1,7,12,6.935814546
2012,1,7,13,7.088406882
2012,1,7,14,6.805419275
2012,1,7,15,6.720483799
2012,1,7,16,6.41931429
2012,1,7,17,6.080869664
2012,1,7,18,5.871314155
2012,1,7,19,5.60964986
2012,1,7,20,5.545146777
2012,1,7,21,5.153395084
2012,1,7,22,5.148994569
2012,1,7,23,5.114034223
2012,1,8,0,8.772133716
2012,1,8,1,8.464937469
2012,1,8,2,8.347367173
2012,1,8,3,8.199973068
2012,1,8,4,8.113384814
2012,1,8,5,7.924038853
2012,1,8,6,8.159439542
2012,1,8,7,8.107930826
2012,1,8,8,8.060121709
2012,1,8,9,8.424712347
2012,1,8,10,8.733022237
2012,1,8,11,10.000869
2012,1,8,12,10.59451584
2012,1,8,13,11.00542925
2012,1,8,14,10.21547804
2012,1,8,15,10.00804462
2012,1,8,16,10.02452627
2012,1,8,17,9.373611221
2012,1,8,18,8.943450553
2012,1,8,19,9.164288208
2012,1,8,20,8.741875461
2012,1,8,21,8.558498233
2012,1,8,22,7.949442019
2012,1,8,23,7.699564235
2012,1,9,0,10.03622464
2012,1,9,1,9.815933166
2012,1,9,2,9.528873848
2012,1,9,3,9.380006911
2012,1,9,4,9.242428277
2012,1,9,5,8.911511903
2012,1,9,6,8.692826144
2012,1,9,7,8.994484212
2012,1,9,8,9.145733349
2012,1,9,9,9.643227484
2012,1,9,10,10.24990231
2012,1,9,11,11.54595998
2012,1,9,12,12.42440122
2012,1,9,13,12.29126844
2012,1,9,14,12.04426184
2012,1,9,15,11.64539411
2012,1,9,16,11.54802154
2012,1,9,17,10.89629426
2012,1,9,18,10.91256002
2012,1,9,19,10.4535865
2012,1,9,20,9.540445245
2012,1,9,21,9.34927779
2012,1,9,22,8.829756912
2012,1,9,23,9.371821918
2012,1,10,0,8.470266767
2012,1,10,1,8.178048246
2012,1,10,2,8.090207264
2012,1,10,3,7.881830448
2012,1,10,4,7.6918717
