year,month,day,flow
2005,10,1,0.99967007
2005,10,2,1.01009841
2005,10,3,1.01009841
2005,10,4,1.02052674
2005,10,5,1.03095508
2005,10,6,1.02052674
2005,10,7,66.0203446
2005,10,8,298.050819
2005,10,9,10.187034
2005,10,10,3.33561732
2005,10,11,2.39706709
2005,10,12,2.14678702
2005,10,13,3.86746245
2005,10,14,3.03319558
2005,10,15,2.12593035
2005,10,16,2.13635869
2005,10,17,2.35535374
2005,10,18,2.40749542
2005,10,19,2.40749542
2005,10,20,2.40749542
2005,10,21,5.21271779
2005,10,22,17.8414326
2005,10,23,4.80601269
2005,10,24,4.04474416
2005,10,25,25.0369844
2005,10,26,6.35983474
2005,10,27,2.96019723
2005,10,28,2.32406873
2005,10,29,2.11550202
2005,10,30,2.17807203
2005,10,31,2.01121866
2005,11,1,1.85479362
2005,11,2,2.01121866
2005,11,3,2.10507368
2005,11,4,2.06336034
2005,11,5,1.94864864
2005,11,6,2.06336034
2005,11,7,1.87565029
2005,11,8,1.77136693
2005,11,9,1.71922525
2005,11,10,1.87565029
2005,11,11,1.92779197
2005,11,12,1.91736363
2005,11,13,1.81308027
2005,11,14,1.76093859
2005,11,15,1.62537023
2005,11,16,12.3144146
2005,11,17,4.79558435
2005,11,18,2.01121866
2005,11,19,1.86522195
2005,11,20,1.77136693
2005,11,21,9.57176221
2005,11,22,15.8600488
2005,11,23,3.31476065
2005,11,24,2.89762721
2005,11,25,2.54306379
2005,11,26,2.56392046
2005,11,27,2.56392046
2005,11,28,2.66820382
2005,11,29,5.82798961
2005,11,30,8.08051017
2005,12,1,2.79334385
2005,12,2,2.59520547
2005,12,3,2.56392046
2005,12,4,6.70396983
2005,12,5,3.25219063
2005,12,6,3.98217415
2005,12,7,3.05405225
2005,12,8,2.97062556
2005,12,9,9.22762712
2005,12,10,2.87677054
2005,12,11,2.7203455
2005,12,12,2.66820382
2005,12,13,2.41792376
2005,12,14,2.26149872
2005,12,15,8.34121857
2005,12,16,34.0053533
2005,12,17,5.42128451
2005,12,18,3.9091758
2005,12,19,3.42947234
2005,12,20,3.06448059
2005,12,21,2.80377219
2005,12,22,2.63691881
2005,12,23,2.56392046
2005,12,24,2.56392046
2005,12,25,13.2529648
2005,12,26,5.85927462
2005,12,27,3.41904401
2005,12,28,3.05405225
2005,12,29,5.22314612
2005,12,30,3.47118569
2005,12,31,2.79334385
2006,1,1,2.7203455
2006,1,2,9.9471823
2006,1,3,13.8786649
2006,1,4,4.23245421
2006,1,5,3.6484674
2006,1,6,3.17919228
2006,1,7,2.88719887
2006,1,8,2.8350572
2006,1,9,2.7203455
2006,1,10,2.7203455
2006,1,11,6.69354149
2006,1,12,4.0551725
2006,1,13,3.06448059
2006,1,14,13.4615315
2006,1,15,3.81532077
2006,1,16,3.32518898
2006,1,17,3.20004895
2006,1,18,26.4969514
2006,1,19,5.77584793
2006,1,20,4.56616096
2006,1,21,4.16988419
2006,1,22,3.73189409
2006,1,23,22.9513172
2006,1,24,5.32742948
2006,1,25,4.6078743
2006,1,26,3.387759
2006,1,27,3.14790727
2006,1,28,3.05405225
2006,1,29,3.88831912
2006,1,30,3.25219063
2006,1,31,4.4618776
2006,2,1,2.94976889
2006,2,2,2.74120217
2006,2,3,14.9214985
