patch,drain,uaa,dist,accDist,zoneID,lateralInput,laterFrac,PARinputFile,LateralNFlexFile,LateralPFlexFile,LateralQFlexFile,waterTempFile,ChannelVelocityFile,detritusInputFile
3544,8,60494,3.33333333,3.33333333,1,60494,0.87286632,inputs/unrestored_Parps.csv,inputs/rhessys_SLB_USGS_WRTDS_NO3_mgNpl.csv,inputs/rhessys_SLB_USGS_WRTDS_PO4_ugPpl.csv,inputs/AJ_synthicFlow.csv,inputs/unrestored_temp.csv,inputs/channel_ratingTable.csv,inputs/unrestored_detritus.csv
3545,8,60501,3.33333333,6.66666667,1,7,0.000101,inputs/unrestored_Parps.csv,inputs/rhessys_SLB_USGS_WRTDS_NO3_mgNpl.csv,inputs/rhessys_SLB_USGS_WRTDS_PO4_ugPpl.csv,inputs/AJ_synthicFlow.csv,inputs/unrestored_temp.csv,inputs/channel_ratingTable.csv,inputs/unrestored_detritus.csv
3546,8,60509,3.33333333,10,1,8,0.00011543,inputs/unrestored_Parps.csv,inputs/rhessys_SLB_USGS_WRTDS_NO3_mgNpl.csv,inputs/rhessys_SLB_USGS_WRTDS_PO4_ugPpl.csv,inputs/AJ_synthicFlow.csv,inputs/unrestored_temp.csv,inputs/channel_ratingTable.csv,inputs/unrestored_detritus.csv
1726,8,60518,3.33333333,13.3333333,1,9,0.00012986,inputs/unrestored_Parps.csv,inputs/rhessys_SLB_USGS_WRTDS_NO3_mgNpl.csv,inputs/rhessys_SLB_USGS_WRTDS_PO4_ugPpl.csv,inputs/AJ_synthicFlow.csv,inputs/unrestored_temp.csv,inputs/channel_ratingTable.csv,inputs/unrestored_detritus.csv
1727,8,60559,3.33333333,16.6666667,1,41,0.00059159,inputs/unrestored_Parps.csv,inputs/rhessys_SLB_USGS_WRTDS_NO3_mgNpl.csv,inputs/rhessys_SLB_USGS_WRTDS_PO4_ugPpl.csv,inputs/AJ_synthicFlow.csv,inputs/unrestored_temp.csv,inputs/channel_ratingTable.csv,inputs/unrestored_detritus.csv
1728,8,60564,3.33333333,20,1,5,7.21E-05,inputs/unrestored_Parps.csv,inputs/rhessys_SLB_USGS_WRTDS_NO3_mgNpl.csv,inputs/rhessys_SLB_USGS_WRTDS_PO4_ugPpl.csv,inputs/AJ_synthicFlow.csv,inputs/unrestored_temp.csv,inputs/channel_ratingTable.csv,inputs/unrestored_detritus.csv
1735,8,60637,3.33333333,23.3333333,2,73,0.00105332,inputs/unrestored_Parps.csv,inputs/rhessys_SLB_USGS_WRTDS_NO3_mgNpl.csv,inputs/rhessys_SLB_USGS_WRTDS_PO4_ugPpl.csv,inputs/AJ_synthicFlow.csv,inputs/unrestored_temp.csv,inputs/channel_ratingTable.csv,inputs/unrestored_detritus.csv
1736,8,60644,3.33333333,26.6666667,2,7,0.000101,inputs/unrestored_Parps.csv,inputs/rhessys_SLB_USGS_WRTDS_NO3_mgNpl.csv,inputs/rhessys_SLB_USGS_WRTDS_PO4_ugPpl.csv,inputs/AJ_synthicFlow.csv,inputs/unrestored_temp.csv,inputs/channel_ratingTable.csv,inputs/unrestored_detritus.csv
1737,8,60658,3.33333333,30,2,14,0.00020201,inputs/unrestored_Parps.csv,inputs/rhessys_SLB_USGS_WRTDS_NO3_mgNpl.csv,inputs/rhessys_SLB_USGS_WRTDS_PO4_ugPpl.csv,inputs/AJ_synthicFlow.csv,inputs/unrestored_temp.csv,inputs/channel_ratingTable.csv,inputs/unrestored_detritus.csv
1744,8,60673,3.33333333,33.3333333,2,15,0.00021644,inputs/unrestored_Parps.csv,inputs/rhessys_SLB_USGS_WRTDS_NO3_mgNpl.csv,inputs/rhessys_SLB_USGS_WRTDS_PO4_ugPpl.csv,inputs/AJ_synthicFlow.csv,inputs/unrestored_temp.csv,inputs/channel_ratingTable.csv,inputs/unrestored_detritus.csv
1745,8,60697,3.33333333,36.6666667,2,24,0.0003463,inputs/unrestored_Parps.csv,inputs/rhessys_SLB_USGS_WRTDS_NO3_mgNpl.csv,inputs/rhessys_SLB_USGS_WRTDS_PO4_ugPpl.csv,inputs/AJ_synthicFlow.csv,inputs/unrestored_temp.csv,inputs/channel_ratingTable.csv,inputs/unrestored_detritus.csv
1746,8,60712,3.33333333,40,2,15,0.00021644,inputs/unrestored_Parps.csv,inputs/rhessys_SLB_USGS_WRTDS_NO3_mgNpl.csv,inputs/rhessys_SLB_USGS_WRTDS_PO4_ugPpl.csv,inputs/AJ_synthicFlow.csv,inputs/unrestored_temp.csv,inputs/channel_ratingTable.csv,inputs/unrestored_detritus.csv
2113,8,60722,3.33333333,43.3333333,3,10,0.00014429,inputs/unrestored_Parps.csv,inputs/rhessys_SLB_USGS_WRTDS_NO3_mgNpl.csv,inputs/rhessys_SLB_USGS_WRTDS_PO4_ugPpl.csv,inputs/AJ_synthicFlow.csv,inputs/unrestored_temp.csv,inputs/channel_ratingTable.csv,inputs/unrestored_detritus.csv
2114,8,60730,3.33333333,46.6666667,3,8,0.00011543,inputs/unrestored_Parps.csv,inputs/rhessys_SLB_USGS_WRTDS_NO3_mgNpl.csv,inputs/rhessys_SLB_USGS_WRTDS_PO4_ugPpl.csv,inputs/AJ_synthicFlow.csv,inputs/unrestored_temp.csv,inputs/channel_ratingTable.csv,inputs/unrestored_detritus.csv
2115,8,60842,3.33333333,50,3,112,0.00161605,inputs/unrestored_Parps.csv,inputs/rhessys_SLB_USGS_WRTDS_NO3_mgNpl.csv,inputs/rhessys_SLB_USGS_WRTDS_PO4_ugPpl.csv,inputs/AJ_synthicFlow.csv,inputs/unrestored_temp.csv,inputs/channel_ratingTable.csv,inputs/unrestored_detritus.csv
1753,8,60848,3.33333333,53.3333333,3,6,8.66E-05,inputs/unrestored_Parps.csv,inputs/rhessys_SLB_USGS_WRTDS_NO3_mgNpl.csv,inputs/rhessys_SLB_USGS_WRTDS_PO4_ugPpl.csv,inputs/AJ_synthicFlow.csv,inputs/unrestored_temp.csv,inputs/channel_ratingTable.csv,inputs/unrestored_detritus.csv
1754,7,60851,4.71404521,58.0473785,3,3,4.33E-05,inputs/unrestored_Parps.csv,inputs/rhessys_SLB_USGS_WRTDS_NO3_mgNpl.csv,inputs/rhessys_SLB_USGS_WRTDS_PO4_ugPpl.csv,inputs/AJ_synthicFlow.csv,inputs/unrestored_temp.csv,inputs/channel_ratingTable.csv,inputs/unrestored_detritus.csv
2928,1,60866,4.71404521,62.7614238,4,15,0.00021644,inputs/unrestored_Parps.csv,inputs/rhessys_SLB_USGS_WRTDS_NO3_mgNpl.csv,inputs/rhessys_SLB_USGS_WRTDS_PO4_ugPpl.csv,inputs/AJ_synthicFlow.csv,inputs/unrestored_temp.csv,inputs/channel_ratingTable.csv,inputs/unrestored_detritus.csv
