"wselev","depth","crossarea","wettedperimeter","surfacewidth","manningN","meanslope","velocity","discharge","volume","mvelocity","RTvar","RTmean","hR","island","wettedBperimeter","bank"
0,0,0,2.18251630674075,0,NA,NA,0,0,0,0,27821455803.6595,48318.8605196012,0,0,2.18251630674075,0
0.01,0.00915372184767388,0.0199825612618634,2.18251630674075,2.182,12,0.01158892,0.00039261721698744,7.84549759091382e-06,0.199825612618634,0.000393008121474029,27821455803.6595,48318.8605196012,0.00915574431226323,1,2.18251630674075,0
0.02,0.0182836767747619,0.0426192360348914,2.33190152789463,2.33,12,0.01158892,0.000622449141253072,2.65283068707802e-05,0.426192360348914,0.000622932514395222,11768458792.7015,30686.621128227,0.018276601959848,1,2.33190152789463,0
0.03,0.0274085329742958,0.0664107848989209,2.42603876334454,2.422,12,0.01158892,0.000814830896291568,5.41135593826142e-05,0.664107848989209,0.000815363219222078,7113895725.08824,23538.1885372008,0.0273741647917311,1,2.42603876334454,0
0.04,0.0365296795158773,0.0909952108972131,2.49685883279506,2.49,12,0.01158892,0.000986105242525325,8.97308545104394e-05,0.909952108972131,0.000986667352406064,5014867370.58104,19505.7030036303,0.0364438748807238,1,2.49685883279506,0
0.05,0.0456195621447857,0.116192944074038,2.55642773183758,2.546,12,0.01158892,0.00114253907066183,0.000132754978339813,1.16192944074038,0.00114308939666336,3937263953.3055,16909.977214968,0.045451292296269,1,2.55642773183758,0
0.06,0.05472206767657,0.141894172813223,2.60654020759919,2.592,11.1920133512195,0.01158892,0.00138159266081633,0.000196039947771353,1.41894172813223,0.00138219008457987,2767538412.45013,14025.0046370033,0.054437745636741,1,2.60654020759919,0
0.07,0.0638150900278296,0.168024961499941,2.65124724666139,2.632,6.24869142555973,0.01158892,0.00273851287056572,0.000460138519643897,1.68024961499941,0.00273958685225663,718177802.484349,7089.40364780578,0.0633758174427255,1,2.65124724666139,0
0.08,0.0729402179791075,0.194530965965171,2.69027308690993,2.666,3.48157877520888,0.01158892,0.00536669409022549,0.00104398818541114,1.94530965965171,0.00536858718630282,190955033.47861,3624.40921366144,0.072309003465745,1,2.69027308690993,0
0.09,0.0820203728661005,0.221372410824408,2.72803334822407,2.698,1.94542849242201,0.01158892,0.0103718308022306,0.00229603718935264,2.21372410824408,0.0103750729585555,52341282.4155402,1880.00178667383,0.0811472524588163,1,2.72803334822407,0
