day,month,year,po4_ugPpl
1,1,2012,7.25046962
2,1,2012,7.14724461
3,1,2012,7.10697374
4,1,2012,7.04197753
5,1,2012,7.03552715
6,1,2012,6.84400234
7,1,2012,6.72325915
8,1,2012,6.72684082
9,1,2012,6.6908985
10,1,2012,6.53703003
11,1,2012,7.82775515
12,1,2012,8.68852156
13,1,2012,7.14464191
14,1,2012,6.66474308
15,1,2012,6.56475055
16,1,2012,6.56672903
17,1,2012,6.74723448
18,1,2012,6.33184934
19,1,2012,6.24262204
20,1,2012,6.21990464
21,1,2012,6.280949
22,1,2012,6.14568954
23,1,2012,6.12639587
24,1,2012,6.05259675
25,1,2012,6.08808983
26,1,2012,6.04014501
27,1,2012,6.58971099
28,1,2012,5.96093694
29,1,2012,5.96038367
30,1,2012,5.90151851
31,1,2012,5.88495165
1,2,2012,5.89585454
2,2,2012,5.88068313
3,2,2012,5.90920374
4,2,2012,5.81269938
5,2,2012,6.18426785
6,2,2012,5.94730702
7,2,2012,5.88421725
8,2,2012,5.76641523
9,2,2012,5.88337852
10,2,2012,5.87643126
11,2,2012,5.90279036
12,2,2012,5.81401555
13,2,2012,5.94160692
14,2,2012,5.8617677
15,2,2012,5.8284057
16,2,2012,6.26330282
17,2,2012,5.87959626
18,2,2012,5.84466659
19,2,2012,5.98035302
20,2,2012,5.83633905
21,2,2012,5.93816439
22,2,2012,6.00077698
23,2,2012,5.99591236
24,2,2012,5.86223641
25,2,2012,6.05939704
26,2,2012,6.05282308
27,2,2012,6.1256826
28,2,2012,6.10918602
29,2,2012,7.35180932
1,3,2012,6.39653427
2,3,2012,6.34466626
3,3,2012,6.34309092
4,3,2012,6.2095699
5,3,2012,6.30149661
6,3,2012,6.15496415
7,3,2012,6.14353567
8,3,2012,6.10296205
9,3,2012,6.06876608
10,3,2012,6.11093703
11,3,2012,6.19413653
12,3,2012,6.1347272
13,3,2012,6.22109585
14,3,2012,6.19457567
15,3,2012,6.15956215
16,3,2012,6.12839443
17,3,2012,6.10701227
18,3,2012,6.07434684
19,3,2012,6.04158612
20,3,2012,6.16731142
21,3,2012,6.05896653
22,3,2012,6.06731977
23,3,2012,6.09864548
24,3,2012,6.59879185
25,3,2012,6.2658448
26,3,2012,6.19951291
27,3,2012,6.29383186
28,3,2012,6.34145228
29,3,2012,6.2534236
30,3,2012,6.23367608
31,3,2012,6.2781227
1,4,2012,6.47193401
2,4,2012,6.27114385
3,4,2012,6.32848
4,4,2012,6.33483923
5,4,2012,6.3077831
6,4,2012,6.35478557
7,4,2012,6.39669989
8,4,2012,6.44378216
9,4,2012,6.47792641
10,4,2012,6.4090478
11,4,2012,6.7451434
12,4,2012,6.57660077
13,4,2012,6.57602706
14,4,2012,6.61939545
15,4,2012,6.73334636
16,4,2012,6.9485509
17,4,2012,6.69269142
