year,month,day,hour,PARps
2012,1,1,0,0
2012,1,1,1,0
2012,1,1,2,0
2012,1,1,3,0
2012,1,1,4,0
2012,1,1,5,0
2012,1,1,6,0.03082803
2012,1,1,7,10.642386
2012,1,1,8,61.804211
2012,1,1,9,127.35096
2012,1,1,10,148.352352
2012,1,1,11,151.185853
2012,1,1,12,152.206055
2012,1,1,13,111.750896
2012,1,1,14,72.9894174
2012,1,1,15,43.7727305
2012,1,1,16,17.5977194
2012,1,1,17,0.89448421
2012,1,1,18,0
2012,1,1,19,0
2012,1,1,20,0
2012,1,1,21,0
2012,1,1,22,0
2012,1,1,23,0
2012,1,2,0,0
2012,1,2,1,0
2012,1,2,2,0
2012,1,2,3,0
2012,1,2,4,0
2012,1,2,5,0
2012,1,2,6,0.02370947
2012,1,2,7,7.49548543
2012,1,2,8,42.8755493
2012,1,2,9,88.5594166
2012,1,2,10,106.100096
2012,1,2,11,108.202145
2012,1,2,12,108.095306
2012,1,2,13,78.733263
2012,1,2,14,48.7459275
2012,1,2,15,32.9005711
2012,1,2,16,12.6418049
2012,1,2,17,0.65454178
2012,1,2,18,0
2012,1,2,19,0
2012,1,2,20,0
2012,1,2,21,0
2012,1,2,22,0
2012,1,2,23,0
2012,1,3,0,0
2012,1,3,1,0
2012,1,3,2,0
2012,1,3,3,0
2012,1,3,4,0
2012,1,3,5,0
2012,1,3,6,0.01822023
2012,1,3,7,5.74308711
2012,1,3,8,33.6564442
2012,1,3,9,67.2639013
2012,1,3,10,82.2209025
2012,1,3,11,82.6320403
2012,1,3,12,83.2542755
2012,1,3,13,58.4523215
2012,1,3,14,36.5944859
2012,1,3,15,24.8862282
2012,1,3,16,9.18112414
2012,1,3,17,0.47161176
2012,1,3,18,0
2012,1,3,19,0
2012,1,3,20,0
2012,1,3,21,0
2012,1,3,22,0
2012,1,3,23,0
2012,1,4,0,0
2012,1,4,1,0
2012,1,4,2,0
2012,1,4,3,0
2012,1,4,4,0
2012,1,4,5,0
2012,1,4,6,0.03082373
2012,1,4,7,10.3695244
2012,1,4,8,55.4150989
2012,1,4,9,116.63515
2012,1,4,10,142.244402
2012,1,4,11,141.182018
2012,1,4,12,142.585698
2012,1,4,13,103.59944
2012,1,4,14,65.2486234
2012,1,4,15,42.0367526
2012,1,4,16,15.5398704
2012,1,4,17,0.84290565
2012,1,4,18,0
2012,1,4,19,0
2012,1,4,20,0
2012,1,4,21,0
2012,1,4,22,0
2012,1,4,23,0
2012,1,5,0,0
2012,1,5,1,0
2012,1,5,2,0
2012,1,5,3,0
2012,1,5,4,0
2012,1,5,5,0
2012,1,5,6,0.03328258
2012,1,5,7,10.629065
2012,1,5,8,60.9991063
2012,1,5,9,127.222969
2012,1,5,10,152.031364
2012,1,5,11,151.047415
2012,1,5,12,144.456272
2012,1,5,13,108.073632
2012,1,5,14,66.3155157
2012,1,5,15,44.4415854
2012,1,5,16,17.2054711
2012,1,5,17,0.89549584
2012,1,5,18,0
2012,1,5,19,0
2012,1,5,20,0
2012,1,5,21,0
2012,1,5,22,0
2012,1,5,23,0
2012,1,6,0,0
2012,1,6,1,0
2012,1,6,2,0
2012,1,6,3,0
2012,1,6,4,0
