"uptake","detritus1c","detritus1n","detritus2c","detritus2n","detritus3c","detritus3n","year","day","month"
0.00026436,173.0491462,4.10277378,353.6221479,8.383927082,225.716294,5.35144381,2008,1,1
0.00025543,173.0491462,4.10278185,353.6221479,8.383947712,225.716294,5.35145482,2008,2,1
0.00025043,173.0491462,4.10279105,353.6221479,8.383965079,225.716294,5.35146632,2008,3,1
0.00025362,173.0491462,4.10280009,353.6221479,8.383983188,225.716294,5.35147801,2008,4,1
0.00024889,173.0491462,4.10280863,353.6221479,8.383999674,225.716294,5.35148959,2008,5,1
0.00024227,173.0491462,4.10281718,353.6221479,8.384017949,225.716294,5.3515008,2008,6,1
0.00023655,173.0491462,4.1028263,353.6221479,8.384035971,225.716294,5.35151269,2008,7,1
0.00023057,173.0491462,4.10283496,353.6221479,8.384053524,225.716294,5.35152398,2008,8,1
0.00022076,173.0491462,4.10284339,353.6221479,8.384071223,225.716294,5.35153528,2008,9,1
0.00021741,173.0491462,4.10285251,353.6221479,8.384088968,225.716294,5.35154649,2008,10,1
0.00021509,173.0491462,4.10286136,353.6221479,8.384108313,225.716294,5.35155829,2008,11,1
0.00022489,173.0491462,4.10286992,353.6221479,8.384126244,225.716294,5.35156978,2008,12,1
0.00022677,173.0491462,4.10287865,353.6221479,8.384143391,225.716294,5.35158126,2008,13,1
0.00022241,173.0491462,4.10288805,353.6221479,8.384161137,225.716294,5.35159267,2008,14,1
0.00022691,173.0491462,4.10289662,353.6221479,8.384178259,225.716294,5.35160436,2008,15,1
0.00023441,173.0491462,4.10290514,353.6221479,8.384198602,225.716294,5.35161575,2008,16,1
0.00023284,173.0491462,4.10291379,353.6221479,8.384216435,225.716294,5.35162696,2008,17,1
0.00023716,173.0491462,4.10292292,353.6221479,8.384232959,225.716294,5.35163789,2008,18,1
0.00023567,173.0491462,4.10293175,353.6221479,8.384251434,225.716294,5.35164968,2008,19,1
0.00022931,173.0491462,4.10294059,353.6221479,8.384270252,225.716294,5.35166202,2008,20,1
0.00022517,173.0491462,4.10294962,353.6221479,8.384288747,225.716294,5.35167304,2008,21,1
0.00022032,173.0491462,4.10295808,353.6221479,8.384305733,225.716294,5.35168435,2008,22,1
0.00021856,173.0491462,4.10296652,353.6221479,8.384324523,225.716294,5.35169575,2008,23,1
0.00022447,173.0491462,4.10297574,353.6221479,8.384343685,225.716294,5.35170704,2008,24,1
0.00023815,173.0491462,4.10298448,353.6221479,8.384359683,225.716294,5.35171901,2008,25,1
0.00023989,173.0491462,4.10299312,353.6221479,8.384376914,225.716294,5.35172994,2008,26,1
0.00023497,173.0491462,4.10300158,353.6221479,8.384394934,225.716294,5.35174183,2008,27,1
0.00023617,173.0491462,4.10301109,353.6221479,8.384413669,225.716294,5.35175332,2008,28,1
0.00023733,173.0491462,4.10301993,353.6221479,8.384431142,225.716294,5.35176481,2008,29,1
0.00025965,173.0491462,4.10302827,353.6221479,8.384450822,225.716294,5.35177593,2008,30,1
0.00027539,173.0491462,4.1030371,353.6221479,8.384467241,225.716294,5.35178781,2008,31,1
0.00027789,173.0491462,4.10304614,353.6221479,8.384483291,225.716294,5.3517996,2008,1,2
0.00027616,173.0491462,4.10305488,353.6221479,8.384503731,225.716294,5.35181021,2008,2,2
0.00027699,173.0491462,4.10306313,353.6221479,8.384522379,225.716294,5.3518221,2008,3,2
0.00026876,173.0491462,4.10307273,353.6221479,8.384539445,225.716294,5.3518335,2008,4,2
0.00026619,173.0491462,4.10308148,353.6221479,8.384555874,225.716294,5.35184498,2008,5,2
