year,month,day,hour,temp
2012,1,1,0,7.88821011
2012,1,1,1,7.65194326
2012,1,1,2,7.49282153
2012,1,1,3,7.35051968
2012,1,1,4,7.26142777
2012,1,1,5,7.1412251
2012,1,1,6,7.07119548
2012,1,1,7,7.06278394
2012,1,1,8,7.17842886
2012,1,1,9,7.48995655
2012,1,1,10,8.23437117
2012,1,1,11,8.86614561
2012,1,1,12,9.32229265
2012,1,1,13,9.60662163
2012,1,1,14,9.40619947
2012,1,1,15,9.14093047
2012,1,1,16,8.84161685
2012,1,1,17,8.47953968
2012,1,1,18,8.1917327
2012,1,1,19,7.95664491
2012,1,1,20,7.78776703
2012,1,1,21,7.5864386
2012,1,1,22,7.40676868
2012,1,1,23,7.32402396
2012,1,2,0,6.92800725
2012,1,2,1,6.7153919
2012,1,2,2,6.58596928
2012,1,2,3,6.45294097
2012,1,2,4,6.38417707
2012,1,2,5,6.27420407
2012,1,2,6,6.20825764
2012,1,2,7,6.21135884
2012,1,2,8,6.31136243
2012,1,2,9,6.58254894
2012,1,2,10,7.24226653
2012,1,2,11,7.76181409
2012,1,2,12,8.19606622
2012,1,2,13,8.44581324
2012,1,2,14,8.28727259
2012,1,2,15,8.06076053
2012,1,2,16,7.74243698
2012,1,2,17,7.45765952
2012,1,2,18,7.19940028
2012,1,2,19,6.98738639
2012,1,2,20,6.81258566
2012,1,2,21,6.64955777
2012,1,2,22,6.50718117
2012,1,2,23,6.40159442
2012,1,3,0,8.33054591
2012,1,3,1,8.06653709
2012,1,3,2,7.92365838
2012,1,3,3,7.74565419
2012,1,3,4,7.66984427
2012,1,3,5,7.54192336
2012,1,3,6,7.45233186
2012,1,3,7,7.45615102
2012,1,3,8,7.59169276
2012,1,3,9,7.92564769
2012,1,3,10,8.72549165
2012,1,3,11,9.33945851
2012,1,3,12,9.86989179
2012,1,3,13,10.1511804
2012,1,3,14,9.97549807
2012,1,3,15,9.67104192
2012,1,3,16,9.31738037
2012,1,3,17,8.96138998
2012,1,3,18,8.64290333
2012,1,3,19,8.46280069
2012,1,3,20,8.22098914
2012,1,3,21,7.94297541
2012,1,3,22,7.82061927
2012,1,3,23,7.71137986
2012,1,4,0,8.43023822
2012,1,4,1,8.16939399
2012,1,4,2,8.01388251
2012,1,4,3,7.85336902
2012,1,4,4,7.76182145
2012,1,4,5,7.65497791
2012,1,4,6,7.55851242
2012,1,4,7,7.54672839
2012,1,4,8,7.67268387
2012,1,4,9,8.02271774
2012,1,4,10,8.82646053
2012,1,4,11,9.4587104
2012,1,4,12,9.96788171
2012,1,4,13,10.2528431
2012,1,4,14,10.0487958
2012,1,4,15,9.80514163
2012,1,4,16,9.44470385
2012,1,4,17,9.0452805
2012,1,4,18,8.77301802
2012,1,4,19,8.54947653
2012,1,4,20,8.28110027
2012,1,4,21,8.06696246
2012,1,4,22,7.92476534
2012,1,4,23,7.77834916
2012,1,5,0,9.28036641
2012,1,5,1,8.99810745
2012,1,5,2,8.81756174
2012,1,5,3,8.64014363
2012,1,5,4,8.54533754
2012,1,5,5,8.42233735
2012,1,5,6,8.31245177
2012,1,5,7,8.30879771
2012,1,5,8,8.44280677
2012,1,5,9,8.81650226
2012,1,5,10,9.72222007
2012,1,5,11,10.3861527
2012,1,5,12,10.958445
2012,1,5,13,11.2725347
2012,1,5,14,11.0844642
2012,1,5,15,10.7833469
2012,1,5,16,10.4187307
2012,1,5,17,9.98959977
2012,1,5,18,9.62307475
2012,1,5,19,9.38137826
2012,1,5,20,9.16635763
2012,1,5,21,8.87831672
2012,1,5,22,8.7302206
2012,1,5,23,8.63445574
2012,1,6,0,7.15722546
2012,1,6,1,6.9384663
2012,1,6,2,6.79928891
2012,1,6,3,6.65865932
2012,1,6,4,6.59409241
2012,1,6,5,6.47095483
2012,1,6,6,6.40722163
2012,1,6,7,6.40794593
2012,1,6,8,6.52935553
2012,1,6,9,6.7960966
2012,1,6,10,7.49316084
2012,1,6,11,8.01929095
2012,1,6,12,8.4855249
2012,1,6,13,8.69544158
2012,1,6,14,8.57021505
2012,1,6,15,8.29218203
2012,1,6,16,7.99486546
2012,1,6,17,7.695145
2012,1,6,18,7.43087
2012,1,6,19,7.23178272
2012,1,6,20,7.07072278
2012,1,6,21,6.8426715
2012,1,6,22,6.70529012
