"(Intercept)","logN"
-2.01654399851214,-0.664081226076966
-2.50159581799898,-0.42579164812314
-2.3130025512452,-0.50583766854105
-2.2445127893031,-0.532303324810842
-2.02981679059509,-0.625847202010858
-1.93343687243627,-0.667849584557316
-2.6455156861716,-0.350946248354692
-1.95337323569451,-0.64860702145006
-1.92972372101704,-0.65794368240036
-2.26252482836094,-0.507341634737829
-2.1619070298558,-0.55044860246396
-2.02346332319192,-0.603524849236337
-1.92112679295836,-0.647670792312139
-1.94134539837892,-0.636234709015544
-1.9600230019432,-0.627236287734846
-1.99352802605256,-0.611523263362724
-1.93844080628648,-0.636036315607669
-2.22245969584861,-0.508158163777174
-2.00166376057867,-0.606266588241017
-2.24443544611701,-0.497809232755235
-2.20049665950115,-0.516102979801841
-2.09473963916724,-0.562435656131954
-2.21797459681733,-0.5079283018923
-2.05136610012416,-0.575411428504748
-2.06785799772905,-0.567190540261281
-1.91395589506719,-0.636907319879887
-2.00680927116976,-0.593457462188366
-2.3007087611777,-0.464034466701327
-1.94874786292555,-0.619129199160362
-1.91862220256048,-0.632648541605547
-2.0393984517098,-0.577072455485439
-2.27953284859592,-0.471371712417551
-2.40528995688085,-0.417191145165876
-2.19827500656345,-0.505780566734885
-1.9659705033019,-0.608790226208645
-2.17020786140295,-0.516937862787538
-2.03464075788232,-0.57659888935565
-1.93625300563141,-0.620588573447017
-2.18164493648402,-0.510456618271251
-1.95172255992886,-0.610626620779673
-2.3321963916329,-0.442857434186597
-1.92397681158376,-0.622181778787018
-1.86734676125175,-0.648223414906286
-2.11409905461548,-0.536360426452146
-2.27815151285494,-0.464508041320342
-2.05859423297239,-0.56002852001675
-2.02978359215418,-0.572772063059509
-1.93971976876621,-0.611872232504801
-2.01068034231699,-0.579104370578303
-2.07245877483635,-0.550766039208199
-2.08076663589804,-0.546863826947807
-1.95993866173336,-0.600193485816671
-2.05032990104904,-0.55866327714756
-2.04740293503174,-0.559573220044372
-2.20941321207864,-0.488295828363822
-1.9629609111582,-0.597344364257945
-2.09103901560355,-0.539829380379444
-2.09128819913987,-0.539585862961567
-2.12351908609741,-0.525262633203145
-2.07082804812606,-0.547804883790494
