"(Intercept)","logN"
-3.35865564587849,-0.497332055502151
-3.11728931257441,-0.552966994723518
-3.55144541602659,-0.364147961391939
-3.26165328331093,-0.470445340451403
-3.40574021778349,-0.407687359075105
-3.41753616915305,-0.396309905245262
-3.51559220542685,-0.355147666631006
-2.9701859882857,-0.583591796896861
-2.76025822586723,-0.678246179011393
-2.86002186644235,-0.631406974320416
-3.21087950750783,-0.473794686128563
-3.15345246610301,-0.497973976989945
-2.59633964353856,-0.752867264347508
-2.64288761402579,-0.729723152603723
-3.1702490625448,-0.48824697024166
-3.0025186516336,-0.561038893445609
-2.737356520202,-0.66882955525594
-3.14815527100263,-0.481078816874087
-3.02169535822081,-0.532318475135812
-2.88205443518936,-0.594570515175781
-3.16197798818551,-0.470662028937908
-2.48727281203389,-0.781129041503214
-3.19781234025141,-0.454803260619332
-2.80184220571105,-0.629588547878771
-2.72737892287973,-0.663166720438755
-2.59561864812502,-0.724378322120423
-3.29208031441361,-0.410686771753818
-2.90074916912562,-0.579648338037827
-2.81468465027118,-0.617012681795469
-2.92500712784392,-0.564143306978499
-2.12621120600214,-0.959033926369133
-3.27017899265035,-0.414398346108456
-2.99548616649539,-0.529163631522087
-2.26564558240793,-0.873466059209965
-3.03900748542218,-0.505229465189732
-2.26590450604285,-0.872082695030054
-3.07432719115315,-0.489000262543517
-2.8885032856951,-0.569812579863091
-3.10425993321437,-0.474100365119693
-3.08754609690239,-0.480697879400576
-3.10192068151392,-0.471776228287173
-2.82322589886514,-0.594395809421617
-3.14426270044079,-0.452643649456037
-3.36056670110258,-0.361333446346103
-3.1953937090404,-0.429880335346657
-2.79354183260913,-0.604748172050918
-2.59006310437,-0.699368109934234
-2.8793036644508,-0.564704149119376
-2.55825174974513,-0.713209382255526
-2.40883403484361,-0.786277143173163
-3.22969532994837,-0.41263669456938
-2.66284586318814,-0.662192492444207
-2.81973908843823,-0.589488623197855
-2.43946439236667,-0.767715203114338
-2.99469398532552,-0.510213037443178
-2.82272988249682,-0.585306195128823
-3.35462884040192,-0.354281827817426
-3.23523612237207,-0.402520410544267
-2.38187279113825,-0.789855057587821
-2.54171934036221,-0.709527157644736
-2.85354633057653,-0.564255920123643
-2.19656891522143,-0.882155731924643
-3.08349960246856,-0.462350174362573
-2.81774922242211,-0.574994871980956
-2.82593980859275,-0.570993737314765
-2.67584343644358,-0.639041142194113
-3.11252447651159,-0.444184034415656
-3.07440627177184,-0.459685790121431
-3.18389549358104,-0.412066286183637
-2.98283578099258,-0.497564089814331
-2.9118259878369,-0.528160939373702
-2.32254567692396,-0.803140712967583
-2.63797438278998,-0.649949528269062
-3.01087910913277,-0.482933860548118
-2.6521620584646,-0.64310770045728
-3.04519339157662,-0.467779077479646
-2.88655254995554,-0.535998926047645
-2.89225989469726,-0.53204697486135
-3.03245214718786,-0.469811222622113
-3.05815690858145,-0.45876819951422
-2.1182169343587,-0.903132092275633
-3.21989858986068,-0.389453755282769
-2.76660130221937,-0.585092822132754
-2.33884402947178,-0.787151368412282
-2.90395620714705,-0.521611358824374
-2.48698251762062,-0.711952968460149
-2.93496331408104,-0.507089499329442
-2.51894386817415,-0.69549264491429
-2.68746301713361,-0.615997085337581
-2.79304577434238,-0.567825887869387
-2.74890305587361,-0.586809778876237
-2.92929536664728,-0.506301452852292
-2.52953672812907,-0.687347566903385
-2.68610857413348,-0.613993910319078
-2.67425735499768,-0.618845841303384
-2.80543077016304,-0.55928202378021
-2.43201053488876,-0.731792703566235
-2.16624661259089,-0.864716449552539
-2.13511013323081,-0.880162873293437
-2.94401231990482,-0.492903459744537
-2.97488928578526,-0.478092105524587
-2.53680762467551,-0.673144524726506
-2.66747182040763,-0.611871843776032
-3.1080551600911,-0.417464974090995
-2.29717692984827,-0.786430410185645
-2.95921528481612,-0.480004611105443
-2.87444963322516,-0.515488042181326
-3.13146873232719,-0.40536801433244
