year,month,day,hour,PAR,temperature
2012,1,1,0,0,8.023810222
2012,1,1,1,0,7.790084789
2012,1,1,2,0,7.647085762
2012,1,1,3,0,7.658059707
2012,1,1,4,0,7.403963534
2012,1,1,5,0,7.103307854
2012,1,1,6,0.010922403,7.18239878
2012,1,1,7,5.185823827,7.305363369
2012,1,1,8,55.35230041,7.413816856
2012,1,1,9,191.1323726,7.399404085
2012,1,1,10,148.6202711,8.734700437
2012,1,1,11,157.9706256,9.098707934
2012,1,1,12,142.3022919,9.564691416
2012,1,1,13,91.14473597,9.714590407
2012,1,1,14,92.84846934,9.889201067
2012,1,1,15,17.21811062,8.973556406
2012,1,1,16,19.41690324,9.32177727
2012,1,1,17,0.638891392,8.204594468
2012,1,1,18,0,8.026561124
2012,1,1,19,0,7.999408567
2012,1,1,20,0,7.573784523
2012,1,1,21,0,7.941434421
2012,1,1,22,0,7.502472999
2012,1,1,23,0,7.3612359
2012,1,2,0,0,6.798669436
2012,1,2,1,0,6.558706993
2012,1,2,2,0,6.413890656
2012,1,2,3,0,6.214528146
2012,1,2,4,0,6.169869374
2012,1,2,5,0,6.044012116
2012,1,2,6,0.022785245,6.141680685
2012,1,2,7,5.556270604,6.060374007
2012,1,2,8,47.87539017,6.198528618
2012,1,2,9,99.99086391,6.356288891
2012,1,2,10,110.941494,7.154398613
2012,1,2,11,128.4049159,7.781810203
2012,1,2,12,67.14471199,8.046225906
2012,1,2,13,83.40168105,8.293811828
2012,1,2,14,44.90886397,8.129792985
2012,1,2,15,32.04940787,8.218025237
2012,1,2,16,6.922815547,7.806000246
2012,1,2,17,0.933212748,7.732339312
2012,1,2,18,0,7.262059686
2012,1,2,19,0,6.893473833
2012,1,2,20,0,6.897988918
2012,1,2,21,0,6.611481843
2012,1,2,22,0,6.623413878
2012,1,2,23,0,6.169591546
2012,1,3,0,0,8.370275064
2012,1,3,1,0,7.979029049
2012,1,3,2,0,7.963563308
2012,1,3,3,0,7.772132423
2012,1,3,4,0,7.829981359
2012,1,3,5,0,7.791491447
2012,1,3,6,0.021396439,7.396981551
2012,1,3,7,3.605597204,7.475531298
2012,1,3,8,48.46851872,7.85010995
2012,1,3,9,67.53255644,7.939073181
2012,1,3,10,86.12088026,8.420737272
2012,1,3,11,60.62957644,9.403669857
2012,1,3,12,85.73754023,10.29949798
2012,1,3,13,53.15624037,9.922218175
2012,1,3,14,32.96129186,9.626664186
2012,1,3,15,23.48020219,9.829499939
2012,1,3,16,8.636575846,9.211457365
2012,1,3,17,0.708582709,9.234226961
2012,1,3,18,0,8.898555245
2012,1,3,19,0,8.776934966
2012,1,3,20,0,8.588977515
2012,1,3,21,0,7.898263454
2012,1,3,22,0,7.834642384
2012,1,3,23,0,7.267869752
2012,1,4,0,0,8.979606878
2012,1,4,1,0,8.768651919
2012,1,4,2,0,8.482302615
2012,1,4,3,0,8.424546914
2012,1,4,4,0,8.161348056
2012,1,4,5,0,8.16189468
2012,1,4,6,0.0108315,8.058754823
